交易日,名次,代號,名稱,收盤,總分,技術,基本,籌碼,大戶,輿論,旗標
2026-09-01,1,2357,華碩,1010.00,79.6,81,60,92,78,90,
2026-09-01,2,2887,台新新光金,40.30,78.6,88,45,92,86,93,
2026-09-01,3,1303,南亞,234.50,77.9,90,55,81,96,82,
2026-09-01,1,2357,華碩,1010.00,79.6,81,60,92,78,90,
2026-09-01,2,2887,台新新光金,40.30,78.6,88,45,92,86,93,
2026-09-01,3,1303,南亞,234.50,77.9,90,55,81,96,81,
2026-09-01,1,2357,華碩,1010.00,75.6,81,60,92,78,50,
2026-09-01,2,1303,南亞,234.50,74.8,90,55,81,96,50,
2026-09-01,3,6670,復盛應用,277.50,74.7,75,62,91,90,50,
2026-09-02,1,1303,南亞,237.50,79.2,91,56,82,96,84,
2026-09-02,2,6670,復盛應用,278.50,77.0,78,64,94,89,50,
2026-09-02,3,2357,華碩,1010.00,76.6,83,59,93,77,50,
2026-09-03,1,2637,慧洋-KY,99.80,79.9,90,76,83,94,86,
2026-09-03,2,2887,台新新光金,41.45,79.1,87,45,94,85,91,
2026-09-03,3,6177,達麗,48.75,77.5,78,73,83,85,70,
2026-09-04,1,2606,裕民,78.20,80.0,93,61,78,91,84,
2026-09-04,2,2357,華碩,1025.00,79.7,85,59,95,78,83,
2026-09-04,3,6177,達麗,49.20,78.5,79,73,86,79,70,
2026-09-07,1,2357,華碩,999.00,80.7,90,60,92,77,88,
2026-09-07,2,1326,台化,71.90,80.0,91,56,83,94,86,
2026-09-07,3,2897,王道銀行,10.75,79.5,83,60,96,80,79,
2026-09-08,1,2467,志聖,610.00,80.0,81,71,81,84,92,
2026-09-08,2,2845,遠東銀,13.70,78.0,83,59,92,77,79,
2026-09-08,3,2606,裕民,77.80,77.4,89,61,75,90,75,
2026-09-09,1,6177,達麗,48.45,81.0,81,79,88,79,73,
2026-09-09,2,5876,上海商銀,47.50,79.2,85,57,99,71,81,
2026-09-09,3,2617,台航,33.40,78.6,94,77,76,66,70,
2026-09-10,1,5876,上海商銀,47.90,78.1,84,56,98,70,80,
2026-09-10,2,2617,台航,33.45,77.6,95,77,73,66,64,
2026-09-10,3,1326,台化,71.30,75.7,85,56,71,94,86,
